Title,Image Link,Ingredients
Essentials Coconut Cream 400ml,https://assets.woolworths.com.au/images/1005/31370.jpg?impolicy=wowsmkqiema&w=260&h=260,"Coconut Extract (76%), Water, Thickener (Guar Gum)"
Woolworths Uht Full Cream Milk 1l,https://assets.woolworths.com.au/images/1005/748595.jpg?impolicy=wowsmkqiema&w=260&h=260,"Ultra Heat Treated Homogenised Full Cream Milk"
Devondale Skim Long Life Milk 1l,https://assets.woolworths.com.au/images/1005/33637.jpg?impolicy=wowsmkqiema&w=260&h=260,"Pure, Natural Skim Milk"
Val Verde Passata Sauce 700g,https://assets.woolworths.com.au/images/1005/38963.jpg?impolicy=wowsmkqiema&w=260&h=260,"Tomatoes (99.7), Salt, Acidity Regulator (330)"
Twinings Camomile & Spiced Apple Tea Bags 10 Pack,https://assets.woolworths.com.au/images/1005/791148.jpg?impolicy=wowsmkqiema&w=260&h=260,"Camomile, Apple Flavouring (16%), Cinnamon (11%), Cardamom (2%), Clove (2%)."
Woolworths Diced Italian Tomatoes 400g,https://assets.woolworths.com.au/images/1005/770320.jpg?impolicy=wowsmkqiema&w=260&h=260,"Diced Tomatoes (60%), Tomato Juice, Acidity Regulator (Citric Acid)"
Leggo's Pasta Sauce Napoletana Chunky Tomato & Herbs 500g,https://assets.woolworths.com.au/images/1005/450822.jpg?impolicy=wowsmkqiema&w=260&h=260,"Tomato puree (72%) (from paste), diced tomatoes (18%), onion (4.5%), sugar, thickener (1442), salt, garlic, yeast extract, pepper, herbs (basil, oregano, parsley)."
Woolworths Free From Gluten Arrowroot Biscuit 205g,https://assets.woolworths.com.au/images/1005/700236.jpg?impolicy=wowsmkqiema&w=260&h=260,"Tapioca Flour, Chickpea Flour, Rice Bran Oil, Sugar, Golden Syrup, Arrowroot Flour (1%), Raising Agent (Sodium Bicarbonate), Natural Flavours, Salt"
Heinz Spaghetti Multipack Pasta Tinned Spaghetti 220g X3 Pack,https://assets.woolworths.com.au/images/1005/158436.jpg?impolicy=wowsmkqiema&w=260&h=260,"Tomato Sauce (52%) Tomatoes (45%), Sugar, Salt, Cheese (Contains Milk), Food Acid (Citric Acid), Spaghetti (48%) (Water, Wheat Flour)."
Woolworths Red Kidney Beans No Added Salt 420g,https://assets.woolworths.com.au/images/1005/259401.jpg?impolicy=wowsmkqiema&w=260&h=260,"Red Kidney Beans (60%), Water"
Woolworths In Juice Sliced Pear 410g,https://assets.woolworths.com.au/images/1005/753172.jpg?impolicy=wowsmkqiema&w=260&h=260,"Pear Slices (54% Min.), Refined Fruit Juice (Apple, Grape, Peach, Pear), Acidity Regulator (Citric Acid)"
Heinz Beanz Baked Beans In Tomato Sauce Multipack 300g X3 Pack,https://assets.woolworths.com.au/images/1005/629507.jpg?impolicy=wowsmkqiema&w=260&h=260,"Navy Beans (51%), Tomato Sauce (49%) Tomatoes (24%), Water, Sugar, Maize Thickener (1422), Salt, Food Acids (Acetic Acid, Citric Acid), Flavours. MAY BE PRESENT: Soy."
Arnott's Jatz Original Crackers 225g,https://assets.woolworths.com.au/images/1005/384250.jpg?impolicy=wowsmkqiema&w=260&h=260,"Wheat Flour, Vegetable Oil (Antioxidant E307b From Soy), Sugar, Salt, Herb Extract, Malt Extract (From Barley), Baking Powder, Yeast, Food Acid (Citric Acid), Emulsifier (Soy Lecithin)."
